stop_id,stop_name,latitude,longitude,route_ids,route_colors
14404,FINCH STATION - SOUTHBOUND PLATFORM,43.780147,-79.415692,61456,D5C82B
14405,NORTH YORK CENTRE STATION - SOUTHBOUND PLATFORM,43.767347,-79.412492,61456,D5C82B
14406,SHEPPARD-YONGE STATION - SOUTHBOUND PLATFORM,43.760348,-79.410691,61456,D5C82B
14407,YORK MILLS STATION - SOUTHBOUND PLATFORM,43.743248,-79.405991,61456,D5C82B
14408,LAWRENCE STATION - SOUTHBOUND PLATFORM,43.725348,-79.40229,61456,D5C82B
14409,EGLINTON STATION - SOUTHBOUND PLATFORM,43.704648,-79.39889,61456,D5C82B
14410,DAVISVILLE STATION - SOUTHBOUND PLATFORM,43.697048,-79.39689,61456,D5C82B
14411,ST CLAIR STATION - SOUTHBOUND PLATFORM,43.687449,-79.393089,61456,D5C82B
14412,SUMMERHILL STATION - SOUTHBOUND PLATFORM,43.682049,-79.390789,61456,D5C82B
14413,ROSEDALE STATION - SOUTHBOUND PLATFORM,43.676049,-79.388089,61456,D5C82B
14414,BLOOR STATION - SOUTHBOUND PLATFORM,43.670049,-79.385389,61456,D5C82B
14415,WELLESLEY STATION - SOUTHBOUND PLATFORM,43.664949,-79.383488,61456,D5C82B
14416,COLLEGE STATION - SOUTHBOUND PLATFORM,43.660149,-79.382688,61456,D5C82B
14417,DUNDAS STATION - SOUTHBOUND PLATFORM,43.655949,-79.380788,61456,D5C82B
14418,QUEEN STATION - SOUTHBOUND PLATFORM,43.652149,-79.379188,61456,D5C82B
14419,KING STATION - SOUTHBOUND PLATFORM,43.648449,-79.377688,61456,D5C82B
14420,UNION STATION - NB PLATFORM towards VAUGHAN METROPOLITAN CENTRE,43.645549,-79.381488,61456,D5C82B
14421,ST ANDREW STATION - NORTHBOUND PLATFORM,43.648249,-79.385088,61456,D5C82B
14422,OSGOODE STATION - NORTHBOUND PLATFORM,43.651749,-79.386888,61456,D5C82B
14423,ST PATRICK STATION - NORTHBOUND PLATFORM,43.655249,-79.388388,61456,D5C82B
14424,QUEEN'S PARK STATION - NORTHBOUND PLATFORM,43.660549,-79.390689,61456,D5C82B
14425,MUSEUM STATION - NORTHBOUND PLATFORM,43.667249,-79.393389,61456,D5C82B
14426,ST GEORGE STATION - NORTHBOUND PLATFORM,43.668249,-79.399689,61456,D5C82B
14427,SPADINA STATION - NORTHBOUND PLATFORM,43.670249,-79.405189,61456,D5C82B
14428,DUPONT STATION - NORTHBOUND PLATFORM,43.674949,-79.40709,61456,D5C82B
14429,ST CLAIR WEST STATION - NORTHBOUND PLATFORM,43.685148,-79.41589,61456,D5C82B
14430,EGLINTON WEST STATION - NORTHBOUND PLATFORM,43.700648,-79.436691,61456,D5C82B
14431,GLENCAIRN STATION - NORTHBOUND PLATFORM,43.709148,-79.440892,61456,D5C82B
14432,LAWRENCE WEST STATION - NORTHBOUND PLATFORM,43.715784,-79.444038,61456,D5C82B
14433,YORKDALE STATION - NORTHBOUND PLATFORM,43.725248,-79.447692,61456,D5C82B
14434,WILSON STATION - NORTHBOUND PLATFORM,43.735048,-79.450192,61456,D5C82B
14435,SHEPPARD WEST STATION - SUBWAY PLATFORM,43.750204,-79.462781,61456,D5C82B
14436,SHEPPARD WEST STATION - SOUTHBOUND PLATFORM,43.749147,-79.461993,61456,D5C82B
14437,WILSON STATION - SOUTHBOUND PLATFORM,43.733848,-79.449892,61456,D5C82B
14438,YORKDALE STATION - SOUTHBOUND PLATFORM,43.723948,-79.447292,61456,D5C82B
14439,LAWRENCE WEST STATION - SOUTHBOUND PLATFORM,43.714748,-79.443791,61456,D5C82B
